nid,id,name,description,resource_markdown
483,UBERON:0000363,reticuloendothelial system,"A part of the immune system that consists of the phagocytic cells located in reticular connective tissue. The cells are primarily monocytes and macrophages, and they accumulate in lymph nodes and the spleen. The Kupffer cells of the liver and tissue histiocytes are also part of the RES.","::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000363&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
484,UBERON:0000467,anatomical system,"Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function.","::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000467&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
487,UBERON:0000998,seminal vesicle,Either of a pair of glandular pouches that lie one on either side of the male reproductive tract posterolateral to the urinary bladder and in the human male secrete a sugar- and protein-containing fluid into the ejaculatory duct.,"::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0000998&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
490,UBERON:0001062,anatomical entity,Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.,
493,UBERON:0001305,ovarian follicle,A spherical aggregation of cells in the ovary that contains a single oocyte.,
494,UBERON:0001310,umbilical artery,"The umbilical artery is a paired artery (with one for each half of the body) that is found in the abdominal and pelvic regions. In the fetus, it extends into the umbilical cord..",
496,UBERON:0001558,lower respiratory tract,The segment of the respiratory tract that starts proximally with the trachea and includes all distal structures including the lungs,
497,UBERON:0001736,submandibular gland,Either of the paired compound tubuloalveolar (aka tubuloacinar) major salivary glands composed of both serous and mucous secretory cells and situated beneath the mandible.,
502,UBERON:0002394,bile duct,"Any of the ducts that form the biliary tree, carrying bile from the liver to the small intestine.",
505,UBERON:0004086,brain ventricle,"one of the system of communicating cavities in the brain that are continuous with the central canal of the spinal cord, that like it are derived from the medullary canal of the embryo, that are lined with an epithelial ependyma, and that contain a serous fluid",
506,UBERON:0004535,cardiovascular system,Anatomical system that has as its parts the heart and blood vessels.,
516,UBERON:0002167,right lung,"Lung which consists of the right upper lobe, middle lobe and right lower lobe.",
517,UBERON:0002370,thymus,Anatomical structure of largely lymphoid tissue that functions in cell-mediated immunity by being the site where T cells develop.,
518,UBERON:0004538,left kidney,A kidney that is part of a left side of organism.,
519,UBERON:0004539,right kidney,A kidney that is part of a right side of organism.,
520,UBERON:0000174,excreta,A portion of organism substance that is the product of an excretion process that will be eliminated from the body. An excretion process is elimination by an organism of the waste products that arise as a result of metabolic activity,
521,UBERON:0000949,endocrine system,Anatomical system that consists of the glands and parts of glands that produce endocrine secretions and help to integrate and control bodily metabolic activity.,
522,UBERON:0001443,chest,"Subdivision of trunk proper, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin and associated with the thoracic vertebral column and ribcage and from the back of the thorax by the external surface of the posterolateral part of the rib cage, the anterior surface of the thoracic vertebral column and the posterior axillary lines; together with the abdomen and the perineum, it constitutes the trunk proper.",
523,UBERON:0001009,circulatory system,"organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis.",
524,UBERON:0002330,exocrine system,"Anatomical system that consists of the glands and parts of glands that produce exocrine secretions and help to integrate and control bodily metabolic activity. Exocrine glands are glands that secrete their products (hormones) into ducts (duct glands). They are the counterparts to endocrine glands, which secrete their products (hormones) directly into the bloodstream (ductless glands) or release hormones (paracrines) that affect only target cells nearby the release site..",
525,UBERON:0002416,integumental system,"Connected anatomical system that forms a barrier between an animal and its environment. In vertebrates, the integumental system consists of the epidermis, dermis plus associated glands and adnexa such as hair and scales. In invertebrates, the integumental system may include cuticle.",
526,UBERON:0002553,anatomical cavity,"Anatomical space which contains portions of one or more body substances and is bounded by the internal surface of one maximally connected anatomical structure. Examples: cranial cavity, pharyngeal recess space, nasal cavity, tooth socket, cavity of serous sac, lumen of stomach, lumen of artery, fornix of vagina.",
527,UBERON:0002405,immune system,"Anatomical system that protects the body from foreign substances, cells, and tissues by producing the immune response and that includes especially the thymus, spleen, lymphoid tissue, lymphocytes including the B cells and T cells, and antibodies.",
528,UBERON:0002204,musculoskeletal system,Anatomical system that consists of the muscular and skeletal systems.,
529,UBERON:0001032,sensory system,Anatomical system that overlaps the nervous system and is responsible for receiving and processing sensory information.,
530,UBERON:0000990,reproductive system,Anatomical system that has as its parts the organs concerned with reproduction.,
